"position","const","created","modified","description","Title","Title type","Directors","Geekzrus rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"115","tt0383534","Fri Nov 25 15:25:19 2011","Fri Nov 25 15:25:19 2011","","Noel","Feature Film","Chazz Palminteri","","6.3","96","2004","drama","6839","2004-09-12","http://www.imdb.com/title/tt0383534/"
"116","tt0087797","Fri Nov 25 17:15:53 2011","Fri Nov 25 17:15:53 2011","","The Night They Saved Christmas","TV Movie","Jackie Cooper","","6.7","92","1984","drama, family, fantasy","846","1984-12-13","http://www.imdb.com/title/tt0087797/"
"117","tt1041804","Wed Nov 30 15:46:46 2011","Wed Nov 30 15:46:46 2011","","The Nutcracker in 3D","Feature Film","Andrei Konchalovsky","","4.4","110","2010","action, family, fantasy, musical","2479","2010-11-24","http://www.imdb.com/title/tt1041804/"
"118","tt0107719","Wed Nov 30 15:47:19 2011","Wed Nov 30 15:47:19 2011","","The Nutcracker","Feature Film","Emile Ardolino","","5.7","92","1993","family, fantasy, music","1142","1993-11-24","http://www.imdb.com/title/tt0107719/"
"119","tt0091658","Wed Nov 30 15:49:21 2011","Wed Nov 30 15:49:21 2011","","Nutcracker","Feature Film","Carroll Ballard","","6.9","89","1986","family, fantasy, music","392","1986-11-26","http://www.imdb.com/title/tt0091658/"
"120","tt1373406","Wed Nov 30 15:51:54 2011","Wed Nov 30 15:51:54 2011","","Snowmen","Feature Film","Robert Kirbyson","","6.1","86","2010","family","494","2010-04-24","http://www.imdb.com/title/tt1373406/"
"121","tt0772176","Thu Dec  1 14:34:30 2011","Thu Dec  1 14:34:30 2011","","Christmas Story","Feature Film","Juha Wuolijoki","","7.0","83","2007","drama, family, fantasy","2356","2007-11-04","http://www.imdb.com/title/tt0772176/"
"122","tt0872243","Sat Jul  7 18:15:21 2012","Sat Jul  7 18:15:21 2012","","All She Wants for Christmas","TV Movie","Ron Oliver","","4.9","91","2006","comedy, drama, romance","561","2006-12-18","http://www.imdb.com/title/tt0872243/"
"123","tt0070832","Thu Jan 22 09:25:32 2015","Thu Jan 22 09:25:32 2015","","Three Wishes for Cinderella","Feature Film","Václav Vorlícek","","8.0","82","1973","drama, fantasy, family, adventure, romance","5666","1973-11-01","http://www.imdb.com/title/tt0070832/"
"124","tt0286140","Mon Apr 18 18:06:08 2016","Mon Apr 18 18:06:08 2016","","The Sons of Mistletoe","TV Movie","Steven Robman","","6.9","100","2001","drama","238","2001-12-19","http://www.imdb.com/title/tt0286140/"
"125","tt0100173","Mon Apr 18 18:08:17 2016","Mon Apr 18 18:08:17 2016","","A Mom for Christmas","TV Movie","George Miller","","6.8","96","1990","fantasy, comedy, family","661","1990-12-17","http://www.imdb.com/title/tt0100173/"
